"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
promis_pfa55,pastor_section_3_of_11,PFA55,radio,"Are you able to wash and dry your body?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfa55_qposition] <> ''",,,,,,
promis_pfa55_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfa55_qposition] <> ''",,,,,,
promis_pfa55_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfa55_qposition] <> ''",,,,,,
promis_pfa55_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfa55_qposition] <> ''",,,,,,
promis_pfa56,pastor_section_3_of_11,PFA56,radio,"Are you able to get in and out of a car?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfa56_qposition] <> ''",,,,,,
promis_pfa56_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfa56_qposition] <> ''",,,,,,
promis_pfa56_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfa56_qposition] <> ''",,,,,,
promis_pfa56_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfa56_qposition] <> ''",,,,,,
promis_pfb1,pastor_section_3_of_11,PFB1,radio,"Does your health now limit you in doing moderate work around the house like vacuuming, sweeping floors or carrying in groceries?","1, Not at all | 2, Very little | 3, Somewhat | 4, Quite a lot | 5, Cannot do",,,,,,"[promis_pfb1_qposition] <> ''",,,,,,
promis_pfb1_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb1_qposition] <> ''",,,,,,
promis_pfb1_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb1_qposition] <> ''",,,,,,
promis_pfb1_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb1_qposition] <> ''",,,,,,
promis_pfb3,pastor_section_3_of_11,PFB3,radio,"Does your health now limit you in putting a trash bag outside?","1, Not at all | 2, Very little | 3, Somewhat | 4, Quite a lot | 5, Cannot do",,,,,,"[promis_pfb3_qposition] <> ''",,,,,,
promis_pfb3_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb3_qposition] <> ''",,,,,,
promis_pfb3_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb3_qposition] <> ''",,,,,,
promis_pfb3_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb3_qposition] <> ''",,,,,,
promis_pfb5r1,pastor_section_3_of_11,PFB5r1,radio,"Does your health now limit you in hiking a couple of miles (3 km) on uneven surfaces, including hills?","1, Not at all | 2, Very little | 3, Somewhat | 4, Quite a lot | 5, Cannot do",,,,,,"[promis_pfb5r1_qposition] <> ''",,,,,,
promis_pfb5r1_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb5r1_qposition] <> ''",,,,,,
promis_pfb5r1_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb5r1_qposition] <> ''",,,,,,
promis_pfb5r1_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb5r1_qposition] <> ''",,,,,,
promis_pfb7,pastor_section_3_of_11,PFB7,radio,"Does your health now limit you in doing strenuous activities such as backpacking, skiing, playing tennis, bicycling or jogging?","1, Not at all | 2, Very little | 3, Somewhat | 4, Quite a lot | 5, Cannot do",,,,,,"[promis_pfb7_qposition] <> ''",,,,,,
promis_pfb7_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb7_qposition] <> ''",,,,,,
promis_pfb7_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb7_qposition] <> ''",,,,,,
promis_pfb7_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb7_qposition] <> ''",,,,,,
promis_pfb8r1,pastor_section_3_of_11,PFB8r1,radio,"Are you able to carry two bags filled with groceries 100 yards (100 m)?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb8r1_qposition] <> ''",,,,,,
promis_pfb8r1_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb8r1_qposition] <> ''",,,,,,
promis_pfb8r1_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb8r1_qposition] <> ''",,,,,,
promis_pfb8r1_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb8r1_qposition] <> ''",,,,,,
promis_pfb9,pastor_section_3_of_11,PFB9,radio,"Are you able to jump up and down?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb9_qposition] <> ''",,,,,,
promis_pfb9_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb9_qposition] <> ''",,,,,,
promis_pfb9_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb9_qposition] <> ''",,,,,,
promis_pfb9_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb9_qposition] <> ''",,,,,,
promis_pfb10,pastor_section_3_of_11,PFB10,radio,"Are you able to climb up five steps?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb10_qposition] <> ''",,,,,,
promis_pfb10_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb10_qposition] <> ''",,,,,,
promis_pfb10_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb10_qposition] <> ''",,,,,,
promis_pfb10_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb10_qposition] <> ''",,,,,,
promis_pfb11,pastor_section_3_of_11,PFB11,radio,"Are you able to wash dishes, pots, and utensils by hand while standing at a sink?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb11_qposition] <> ''",,,,,,
promis_pfb11_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb11_qposition] <> ''",,,,,,
promis_pfb11_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb11_qposition] <> ''",,,,,,
promis_pfb11_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb11_qposition] <> ''",,,,,,
promis_pfb12,pastor_section_3_of_11,PFB12,radio,"Are you able to make a bed, including spreading and tucking in bed sheets?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb12_qposition] <> ''",,,,,,
promis_pfb12_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb12_qposition] <> ''",,,,,,
promis_pfb12_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb12_qposition] <> ''",,,,,,
promis_pfb12_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb12_qposition] <> ''",,,,,,
promis_pfb13,pastor_section_3_of_11,PFB13,radio,"Are you able to carry a shopping bag or briefcase?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb13_qposition] <> ''",,,,,,
promis_pfb13_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb13_qposition] <> ''",,,,,,
promis_pfb13_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb13_qposition] <> ''",,,,,,
promis_pfb13_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb13_qposition] <> ''",,,,,,
promis_pfb14,pastor_section_3_of_11,PFB14,radio,"Are you able to take a tub bath?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb14_qposition] <> ''",,,,,,
promis_pfb14_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb14_qposition] <> ''",,,,,,
promis_pfb14_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb14_qposition] <> ''",,,,,,
promis_pfb14_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb14_qposition] <> ''",,,,,,
promis_pfb15,pastor_section_3_of_11,PFB15,radio,"Are you able to change the bulb in a table lamp?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb15_qposition] <> ''",,,,,,
promis_pfb15_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb15_qposition] <> ''",,,,,,
promis_pfb15_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb15_qposition] <> ''",,,,,,
promis_pfb15_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb15_qposition] <> ''",,,,,,
promis_pfb16,pastor_section_3_of_11,PFB16,radio,"Are you able to press with your index finger (for example ringing a doorbell)?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb16_qposition] <> ''",,,,,,
promis_pfb16_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb16_qposition] <> ''",,,,,,
promis_pfb16_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb16_qposition] <> ''",,,,,,
promis_pfb16_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb16_qposition] <> ''",,,,,,
promis_pfb17,pastor_section_3_of_11,PFB17,radio,"Are you able to put on and take off your socks?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb17_qposition] <> ''",,,,,,
promis_pfb17_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb17_qposition] <> ''",,,,,,
promis_pfb17_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb17_qposition] <> ''",,,,,,
promis_pfb17_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb17_qposition] <> ''",,,,,,
promis_pfb18,pastor_section_3_of_11,PFB18,radio,"Are you able to shave your face or apply makeup?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb18_qposition] <> ''",,,,,,
promis_pfb18_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb18_qposition] <> ''",,,,,,
promis_pfb18_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb18_qposition] <> ''",,,,,,
promis_pfb18_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb18_qposition] <> ''",,,,,,
promis_pfb19,pastor_section_3_of_11,PFB19,radio,"Are you able to squeeze a new tube of toothpaste?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb19_qposition] <> ''",,,,,,
promis_pfb19_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb19_qposition] <> ''",,,,,,
promis_pfb19_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb19_qposition] <> ''",,,,,,
promis_pfb19_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb19_qposition] <> ''",,,,,,
promis_pfb20,pastor_section_3_of_11,PFB20,radio,"Are you able to cut a piece of paper with scissors?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb20_qposition] <> ''",,,,,,
promis_pfb20_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb20_qposition] <> ''",,,,,,
promis_pfb20_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb20_qposition] <> ''",,,,,,
promis_pfb20_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb20_qposition] <> ''",,,,,,
promis_pfb21,pastor_section_3_of_11,PFB21,radio,"Are you able to pick up coins from a table top?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb21_qposition] <> ''",,,,,,
promis_pfb21_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb21_qposition] <> ''",,,,,,
promis_pfb21_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb21_qposition] <> ''",,,,,,
promis_pfb21_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb21_qposition] <> ''",,,,,,
promis_pfb22,pastor_section_3_of_11,PFB22,radio,"Are you able to hold a plate full of food?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb22_qposition] <> ''",,,,,,
promis_pfb22_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb22_qposition] <> ''",,,,,,
promis_pfb22_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb22_qposition] <> ''",,,,,,
promis_pfb22_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb22_qposition] <> ''",,,,,,
promis_pfb23,pastor_section_3_of_11,PFB23,radio,"Are you able to pour liquid from a bottle into a glass?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb23_qposition] <> ''",,,,,,
promis_pfb23_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb23_qposition] <> ''",,,,,,
promis_pfb23_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb23_qposition] <> ''",,,,,,
promis_pfb23_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb23_qposition] <> ''",,,,,,
promis_pfb24,pastor_section_3_of_11,PFB24,radio,"Are you able to run a short distance, such as to catch a bus?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb24_qposition] <> ''",,,,,,
promis_pfb24_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb24_qposition] <> ''",,,,,,
promis_pfb24_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb24_qposition] <> ''",,,,,,
promis_pfb24_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb24_qposition] <> ''",,,,,,
promis_pfb25,pastor_section_3_of_11,PFB25,radio,"Are you able to push open a door after turning the knob?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb25_qposition] <> ''",,,,,,
promis_pfb25_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb25_qposition] <> ''",,,,,,
promis_pfb25_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb25_qposition] <> ''",,,,,,
promis_pfb25_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb25_qposition] <> ''",,,,,,
promis_pfb26,pastor_section_3_of_11,PFB26,radio,"Are you able to shampoo your hair?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb26_qposition] <> ''",,,,,,
promis_pfb26_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb26_qposition] <> ''",,,,,,
promis_pfb26_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb26_qposition] <> ''",,,,,,
promis_pfb26_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb26_qposition] <> ''",,,,,,
promis_pfb27,pastor_section_3_of_11,PFB27,radio,"Are you able to tie a knot or a bow?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb27_qposition] <> ''",,,,,,
promis_pfb27_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb27_qposition] <> ''",,,,,,
promis_pfb27_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb27_qposition] <> ''",,,,,,
promis_pfb27_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb27_qposition] <> ''",,,,,,
promis_pfb28r1,pastor_section_3_of_11,PFB28r1,radio,"Are you able to lift 10 pounds (5 kg) above your shoulder?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb28r1_qposition] <> ''",,,,,,
promis_pfb28r1_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb28r1_qposition] <> ''",,,,,,
promis_pfb28r1_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb28r1_qposition] <> ''",,,,,,
promis_pfb28r1_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb28r1_qposition] <> ''",,,,,,
promis_pfb29,pastor_section_3_of_11,PFB29,radio,"Are you able to lift a full cup or glass to your mouth?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb29_qposition] <> ''",,,,,,
promis_pfb29_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb29_qposition] <> ''",,,,,,
promis_pfb29_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb29_qposition] <> ''",,,,,,
promis_pfb29_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb29_qposition] <> ''",,,,,,
promis_pfb30,pastor_section_3_of_11,PFB30,radio,"Are you able to open a new milk carton?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb30_qposition] <> ''",,,,,,
promis_pfb30_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb30_qposition] <> ''",,,,,,
promis_pfb30_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb30_qposition] <> ''",,,,,,
promis_pfb30_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb30_qposition] <> ''",,,,,,
promis_pfb31,pastor_section_3_of_11,PFB31,radio,"Are you able to open car doors?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb31_qposition] <> ''",,,,,,
promis_pfb31_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb31_qposition] <> ''",,,,,,
promis_pfb31_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb31_qposition] <> ''",,,,,,
promis_pfb31_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb31_qposition] <> ''",,,,,,
promis_pfb32,pastor_section_3_of_11,PFB32,radio,"Are you able to stand unsupported for 10 minutes?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb32_qposition] <> ''",,,,,,
promis_pfb32_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb32_qposition] <> ''",,,,,,
promis_pfb32_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb32_qposition] <> ''",,,,,,
promis_pfb32_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb32_qposition] <> ''",,,,,,
promis_pfb33,pastor_section_3_of_11,PFB33,radio,"Are you able to remove something from your back pocket?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb33_qposition] <> ''",,,,,,
promis_pfb33_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb33_qposition] <> ''",,,,,,
promis_pfb33_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb33_qposition] <> ''",,,,,,
promis_pfb33_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb33_qposition] <> ''",,,,,,
promis_pfb34,pastor_section_3_of_11,PFB34,radio,"Are you able to change a light bulb overhead?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb34_qposition] <> ''",,,,,,
promis_pfb34_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb34_qposition] <> ''",,,,,,
promis_pfb34_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb34_qposition] <> ''",,,,,,
promis_pfb34_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb34_qposition] <> ''",,,,,,
promis_pfb36,pastor_section_3_of_11,PFB36,radio,"Are you able to put on a pullover sweater?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb36_qposition] <> ''",,,,,,
promis_pfb36_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb36_qposition] <> ''",,,,,,
promis_pfb36_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb36_qposition] <> ''",,,,,,
promis_pfb36_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb36_qposition] <> ''",,,,,,
promis_pfb37,pastor_section_3_of_11,PFB37,radio,"Are you able to turn faucets on and off?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb37_qposition] <> ''",,,,,,
promis_pfb37_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb37_qposition] <> ''",,,,,,
promis_pfb37_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb37_qposition] <> ''",,,,,,
promis_pfb37_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb37_qposition] <> ''",,,,,,
promis_pfb39r1,pastor_section_3_of_11,PFB39r1,radio,"Are you able to reach and get down a 5 pound (2 kg) object from above your head?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb39r1_qposition] <> ''",,,,,,
promis_pfb39r1_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb39r1_qposition] <> ''",,,,,,
promis_pfb39r1_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb39r1_qposition] <> ''",,,,,,
promis_pfb39r1_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb39r1_qposition] <> ''",,,,,,
promis_pfb40,pastor_section_3_of_11,PFB40,radio,"Are you able to stand up on tiptoes?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb40_qposition] <> ''",,,,,,
promis_pfb40_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb40_qposition] <> ''",,,,,,
promis_pfb40_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb40_qposition] <> ''",,,,,,
promis_pfb40_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb40_qposition] <> ''",,,,,,
promis_pfb41,pastor_section_3_of_11,PFB41,radio,"Are you able to trim your fingernails?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb41_qposition] <> ''",,,,,,
promis_pfb41_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb41_qposition] <> ''",,,,,,
promis_pfb41_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb41_qposition] <> ''",,,,,,
promis_pfb41_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb41_qposition] <> ''",,,,,,
promis_pfb42,pastor_section_3_of_11,PFB42,radio,"Are you able to stand unsupported for 30 minutes?","1, Without any difficulty | 2, With a little difficulty | 3, With some difficulty | 4, With much difficulty | 5, Unable to do",,,,,,"[promis_pfb42_qposition] <> ''",,,,,,
promis_pfb42_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb42_qposition] <> ''",,,,,,
promis_pfb42_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb42_qposition] <> ''",,,,,,
promis_pfb42_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb42_qposition] <> ''",,,,,,
promis_pfb43,pastor_section_3_of_11,PFB43,radio,"Does your health now limit you in taking care of your personal needs (dress, comb hair, toilet, eat, bathe)?","1, Not at all | 2, Very little | 3, Somewhat | 4, Quite a lot | 5, Cannot do",,,,,,"[promis_pfb43_qposition] <> ''",,,,,,
promis_pfb43_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb43_qposition] <> ''",,,,,,
promis_pfb43_stderror,pastor_section_3_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_pfb43_qposition] <> ''",,,,,,
promis_pfb43_qposition,pastor_section_3_of_11,,text,"Question Position",,,integer,,,,"[promis_pfb43_qposition] <> ''",,,,,,
promis_pfb44,pastor_section_3_of_11,PFB44,radio,"Does your health now limit you in doing moderate activities, such as moving a table, pushing a vacuum cleaner, bowling, or playing golf?","1, Not at all | 2, Very little | 3, Somewhat | 4, Quite a lot | 5, Cannot do",,,,,,"[promis_pfb44_qposition] <> ''",,,,,,
promis_pfb44_tscore,pastor_section_3_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_pfb44_qposition] <> ''",,,,,,
